disease,model,intercept,auc_fitted,pseudo_r2_mcfadden,n_rows,n_cases,bootstrap_valid_draws,joint_test,sin_ci_low,sin_ci_high,cos_ci_low,cos_ci_high,amplitude_ci_low,amplitude_ci_high,sign_consistency_rate,periodicity_supported
acute flare-up of triaditis/chronic enteropathy,model_1_moon_only_circular,-0.00700887415615277,0.520246913580247,-0.1570964149157852,315,90,2000,moon_sin_cos_bootstrap,-0.4297478300838607,0.24809630493113696,-0.2720215928225826,0.4516559073059146,0.04542415373979015,0.5585031897416636,0.463,False
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,-0.8347758417638681,0.6446913580246915,-0.10411291395229472,315,90,2000,moon_sin_cos_bootstrap,-0.4652213899082447,0.2509098096958047,-0.1785500521838504,0.5316889891104942,0.05647827093344717,0.6076687013127632,0.5825,False
acute flare-up of triaditis/chronic enteropathy,model_3_plus_seasonality,-0.02164350840931659,0.5841975308641976,-0.14067176771074497,315,90,2000,moon_sin_cos_bootstrap,-0.4284416879691716,0.27398659988132806,-0.3049008661608017,0.4311305698689375,0.04592746312364299,0.52992813229744,0.364,False
acute flare-up of triaditis/chronic enteropathy,model_4_full,-0.8517895465260165,0.6768888888888888,-0.08792612311055703,315,90,2000,moon_sin_cos_bootstrap,-0.42413616970112483,0.2662352293330832,-0.08811323080397461,0.15687216793626454,0.028406703040848497,0.43910328497472784,0.461,False
acute gastroenteritis,model_1_moon_only_circular,-0.0007221916966914655,0.5686928104575163,-0.41139616031275383,315,60,2000,moon_sin_cos_bootstrap,-0.08372057596963393,0.6782490534172806,-0.3996434949269921,0.420904628029188,0.08624273226777229,0.7312445867544851,0.478,False
acute gastroenteritis,model_2_plus_sex_neuter,0.2765658170287179,0.5994771241830066,-0.39129960853045076,315,60,2000,moon_sin_cos_bootstrap,-0.10032538916895146,0.6941992583558498,-0.4361660608150782,0.41764378733510016,0.08930248532641676,0.7592603377095084,0.501,False
acute gastroenteritis,model_3_plus_seasonality,-0.055911790354733495,0.6320261437908496,-0.37067175875818825,315,60,2000,moon_sin_cos_bootstrap,-0.08777943029785346,0.6974193209364927,-0.3925892265749555,0.504869397149282,0.08352430208343084,0.7789217480673579,0.522,False
acute gastroenteritis,model_4_full,0.3393600679708423,0.6567320261437908,-0.3477776293151036,315,60,2000,moon_sin_cos_bootstrap,-0.06976678790617065,0.7222593365693946,-0.13955345654866771,0.16605938565165548,0.05836570888215845,0.7301798935271991,0.522,False
acute pancreatitis,model_1_moon_only_circular,-0.011978684282037926,0.5449881776726904,-0.028514017474826403,315,124,2000,moon_sin_cos_bootstrap,-0.5294178276889121,0.09790489355833476,-0.4048913973058944,0.26600628936515763,0.06786326445416337,0.5810885297636063,0.6145,False
acute pancreatitis,model_2_plus_sex_neuter,-0.3616385647203768,0.614486573213984,0.0007553035626315374,315,124,2000,moon_sin_cos_bootstrap,-0.53928013570559,0.07803586688793852,-0.319050806341328,0.34054936927460433,0.0622831856272475,0.5877628577667463,0.465,False
acute pancreatitis,model_3_plus_seasonality,-0.0168620574509649,0.5853529809153859,-0.0161254403994342,315,124,2000,moon_sin_cos_bootstrap,-0.5102609212788235,0.11961311502043193,-0.4423949796754757,0.24989717583681342,0.05663733772880677,0.5982272595065143,0.6185,False
acute pancreatitis,model_4_full,-0.37062959669373957,0.6141487924337105,0.008424031341078941,315,124,2000,moon_sin_cos_bootstrap,-0.5542614923448095,0.09895772737958392,-0.12071101315587801,0.10031011205413545,0.03130711433274888,0.5572931513675504,0.51,False
parvovirus enteritis,model_1_moon_only_circular,0.0007664881724476243,0.5383211678832117,-0.7839292203526518,315,41,2000,moon_sin_cos_bootstrap,-0.21721041106032704,0.6625972078790614,-0.48326751043884525,0.47368268949747994,0.06157453267702579,0.7340087701655359,0.4195,False
parvovirus enteritis,model_2_plus_sex_neuter,1.0548038819816057,0.844534448994125,-0.2790694507388025,315,41,2000,moon_sin_cos_bootstrap,-0.1574579816687454,0.8375803979221172,-0.9402855646625308,0.17517471268185045,0.16683147560384787,1.0698800651954128,0.8455,False
parvovirus enteritis,model_3_plus_seasonality,-0.1846046989065557,0.6771853302474631,-0.6630822999937522,315,41,2000,moon_sin_cos_bootstrap,-0.47887344905534424,0.4177027927698474,-0.4198819907014859,0.544454486878011,0.050798689615333674,0.6627266934809921,0.322,False
parvovirus enteritis,model_4_full,1.0395743019223551,0.8650080113939825,-0.23586643593099965,315,41,2000,moon_sin_cos_bootstrap,-0.3371560504898555,0.6251585969064993,-0.25318630966195693,0.12511413159101606,0.04003264181712377,0.632809953102678,0.5455,False
