model,feature_block,fold,n_train,n_test,n_numeric_features,n_categorical_features,accuracy,balanced_accuracy,macro_f1,weighted_f1
random_forest,clinical_only,1,252,63,27,25,0.5714285714285714,0.5363888888888889,0.552027972027972,0.5433100233100233
random_forest,clinical_only,2,252,63,27,25,0.6031746031746031,0.5706944444444444,0.5771446295639844,0.5774491765275175
random_forest,clinical_only,3,252,63,27,25,0.5238095238095238,0.5875,0.5561433298502264,0.4995494075953846
random_forest,clinical_only,4,252,63,27,25,0.5079365079365079,0.4851388888888889,0.47992559523809525,0.4789710884353741
random_forest,clinical_only,5,252,63,27,25,0.47619047619047616,0.4722222222222222,0.4753368100825728,0.45570248960079474
logistic_ovr,clinical_only,1,252,63,27,25,0.49206349206349204,0.5652777777777778,0.5478705978705979,0.4861666861666862
logistic_ovr,clinical_only,2,252,63,27,25,0.6190476190476191,0.6070833333333334,0.6207356905026161,0.6181718976898936
logistic_ovr,clinical_only,3,252,63,27,25,0.5396825396825397,0.5801388888888889,0.5447191697191697,0.5198364245983293
logistic_ovr,clinical_only,4,252,63,27,25,0.5873015873015873,0.65125,0.6405448717948717,0.5864875864875865
logistic_ovr,clinical_only,5,252,63,27,25,0.5396825396825397,0.5902777777777778,0.5735319044983872,0.5354710067771493
hist_gb,clinical_only,1,252,63,27,25,0.6349206349206349,0.6491666666666667,0.6628618305402554,0.6355984887802536
hist_gb,clinical_only,2,252,63,27,25,0.6825396825396826,0.6509722222222222,0.6765074450832965,0.6781519625394017
hist_gb,clinical_only,3,252,63,27,25,0.6349206349206349,0.6665277777777778,0.6795454545454545,0.6336700336700337
hist_gb,clinical_only,4,252,63,27,25,0.4126984126984127,0.45763888888888893,0.43949494949494955,0.40520763187429854
hist_gb,clinical_only,5,252,63,27,25,0.5396825396825397,0.6076388888888888,0.5912200956937799,0.5333880154932787
random_forest,environmental_only,1,252,63,31,5,0.31746031746031744,0.2866666666666666,0.2939944943494639,0.30804781682788057
random_forest,environmental_only,2,252,63,31,5,0.38095238095238093,0.3634722222222222,0.3935185185185185,0.3838918283362728
random_forest,environmental_only,3,252,63,31,5,0.42857142857142855,0.35097222222222224,0.35637534841070245,0.40569856589031655
random_forest,environmental_only,4,252,63,31,5,0.3492063492063492,0.32180555555555557,0.3246642246642247,0.3368800511657654
random_forest,environmental_only,5,252,63,31,5,0.4126984126984127,0.3888888888888889,0.3886800334168755,0.4002864303616183
logistic_ovr,environmental_only,1,252,63,31,5,0.2857142857142857,0.2995833333333333,0.29646867612293143,0.2865023077789035
logistic_ovr,environmental_only,2,252,63,31,5,0.2857142857142857,0.3277777777777778,0.3125512400081984,0.2823942585164147
logistic_ovr,environmental_only,3,252,63,31,5,0.3968253968253968,0.3938888888888889,0.3738612836438923,0.3892306681126557
logistic_ovr,environmental_only,4,252,63,31,5,0.2857142857142857,0.33166666666666667,0.30504079669676587,0.27524582424026156
logistic_ovr,environmental_only,5,252,63,31,5,0.2857142857142857,0.2673611111111111,0.25613597711812,0.2750427010631093
hist_gb,environmental_only,1,252,63,31,5,0.4444444444444444,0.38916666666666666,0.40760860679190986,0.4341307862179005
hist_gb,environmental_only,2,252,63,31,5,0.3492063492063492,0.32833333333333337,0.33215183509301155,0.34204952636325187
hist_gb,environmental_only,3,252,63,31,5,0.38095238095238093,0.3356944444444444,0.3354700854700855,0.37464387464387466
hist_gb,environmental_only,4,252,63,31,5,0.36507936507936506,0.3322222222222222,0.33481933653964735,0.3628525624086113
hist_gb,environmental_only,5,252,63,31,5,0.30158730158730157,0.3090277777777778,0.30698785742264,0.30173353477701303
random_forest,combined,1,252,63,58,30,0.49206349206349204,0.4708333333333333,0.4530788904190439,0.4275128111445247
random_forest,combined,2,252,63,58,30,0.5555555555555556,0.5290277777777778,0.5191511387163561,0.504321535377436
random_forest,combined,3,252,63,58,30,0.6031746031746031,0.6375,0.6114024569200454,0.5642413049800581
random_forest,combined,4,252,63,58,30,0.47619047619047616,0.46125,0.458537296037296,0.44512894512894513
random_forest,combined,5,252,63,58,30,0.5396825396825397,0.5104166666666667,0.5031135531135531,0.49052851909994766
logistic_ovr,combined,1,252,63,58,30,0.49206349206349204,0.5405555555555556,0.550354609929078,0.4984464707868963
logistic_ovr,combined,2,252,63,58,30,0.6031746031746031,0.6036111111111111,0.6173160173160173,0.6006459149316291
logistic_ovr,combined,3,252,63,58,30,0.5555555555555556,0.60875,0.5793350168350169,0.547017797017797
logistic_ovr,combined,4,252,63,58,30,0.5396825396825397,0.6091666666666666,0.612888198757764,0.5392980380558021
logistic_ovr,combined,5,252,63,58,30,0.47619047619047616,0.5347222222222222,0.509641560798548,0.4643217238498545
hist_gb,combined,1,252,63,58,30,0.5396825396825397,0.581388888888889,0.6075814536340852,0.5503878744480248
hist_gb,combined,2,252,63,58,30,0.5873015873015873,0.5793055555555555,0.6058743169398907,0.5855147887934773
hist_gb,combined,3,252,63,58,30,0.6666666666666666,0.7294444444444445,0.7129411764705882,0.6603174603174603
hist_gb,combined,4,252,63,58,30,0.47619047619047616,0.4984722222222222,0.5081699346405228,0.4796348168897188
hist_gb,combined,5,252,63,58,30,0.6031746031746031,0.6388888888888888,0.6370055573716901,0.6026308006039944
