disease,row_type,sex_neuter,n_total,n_cases,baseline_risk,best_category,best_category_rr,best_category_rr_ci_low,best_category_rr_ci_high,full_moon_rr,new_moon_rr,near_full_window_rr,near_new_window_rr,model1_auc_fitted,model4_auc_fitted,model1_periodicity_supported,model4_periodicity_supported,model1_amplitude_ci_low,model1_amplitude_ci_high,moon_amp_unadjusted,moon_amp_adjusted_full
acute flare-up of triaditis/chronic enteropathy,overall,all,315,90,0.2857142857142857,new,1.4,0.9332850384387936,1.8398358525079423,1.105263157894737,1.4,1.1097560975609757,1.3404255319148937,0.520246913580247,0.6768888888888888,False,False,0.0454241537397901,0.5585031897416636,0.11513508420916274,0.09040016258704449
acute flare-up of triaditis/chronic enteropathy,stratified,female_intact,39,4,0.1025641025641025,new,0.0,0.0,0.0,,,,,,,,,,,,
acute flare-up of triaditis/chronic enteropathy,stratified,female_neutered,95,36,0.3789473684210526,full,1.6792929292929293,0.904194655918794,2.544642857142857,,,,,,,,,,,,
acute flare-up of triaditis/chronic enteropathy,stratified,male_intact,51,8,0.1568627450980392,new,1.8214285714285712,0.0,4.371428571428571,,,,,,,,,,,,
acute flare-up of triaditis/chronic enteropathy,stratified,male_neutered,129,42,0.3255813953488372,new,1.5357142857142856,0.9613423050379571,2.206763443935926,,,,,,,,,,,,
acute gastroenteritis,overall,all,315,60,0.1904761904761904,waxing,1.2522935779816515,0.9434221041282445,1.6076869630039248,0.9671052631578948,0.8166666666666668,1.024390243902439,0.8936170212765958,0.5686928104575163,0.6567320261437908,False,False,0.0862427322677722,0.7312445867544851,0.2938185879231373,0.31620698174710665
acute gastroenteritis,stratified,female_intact,39,10,0.2564102564102564,full,3.9,2.4375,7.800000000000001,,,,,,,,,,,,
acute gastroenteritis,stratified,female_neutered,95,15,0.1578947368421052,full,0.5757575757575758,0.0,1.7598090277777747,,,,,,,,,,,,
acute gastroenteritis,stratified,male_intact,51,13,0.2549019607843137,full,1.5692307692307694,0.0,3.9230769230769234,,,,,,,,,,,,
acute gastroenteritis,stratified,male_neutered,129,22,0.1705426356589147,waxing,1.5731707317073171,0.9772727272727272,2.2634907120743013,,,,,,,,,,,,
acute pancreatitis,overall,all,315,124,0.3936507936507936,waning,1.156569630212431,0.9819857560885156,1.3270544638952235,0.9359083191850592,0.8467741935483871,0.9293863099921322,0.8107412491420728,0.5449881776726904,0.6141487924337105,False,False,0.0678632644541633,0.5810885297636063,0.23328609549632442,0.20752634581945492
acute pancreatitis,stratified,female_intact,39,12,0.3076923076923077,full,0.0,0.0,0.0,,,,,,,,,,,,
acute pancreatitis,stratified,female_neutered,95,41,0.431578947368421,full,0.6319290465631928,0.0,1.2418300653594772,,,,,,,,,,,,
acute pancreatitis,stratified,male_intact,51,11,0.2156862745098039,full,0.0,0.0,0.0,,,,,,,,,,,,
acute pancreatitis,stratified,male_neutered,129,60,0.4651162790697674,new,0.6840909090909091,0.2819441765777349,1.091173427851755,,,,,,,,,,,,
parvovirus enteritis,overall,all,315,41,0.1301587301587301,new,0.8536585365853657,0.2133822985957132,1.5715950665188465,1.0109114249037223,0.8536585365853657,0.9369422962522308,0.9807991696938244,0.5383211678832117,0.8650080113939825,False,False,0.0615745326770257,0.7340087701655359,0.21125272370401468,0.18838516344567
parvovirus enteritis,stratified,female_intact,39,13,0.3333333333333333,new,2.25,0.0,4.333333333333333,,,,,,,,,,,,
parvovirus enteritis,stratified,female_neutered,95,3,0.031578947368421,waxing,2.638888888888889,2.111111111111111,3.518518518518518,,,,,,,,,,,,
parvovirus enteritis,stratified,male_intact,51,19,0.3725490196078431,new,0.7669172932330827,0.0,1.7,,,,,,,,,,,,
parvovirus enteritis,stratified,male_neutered,129,5,0.0387596899224806,full,3.87,0.0,7.588235294117648,,,,,,,,,,,,
