pc,feature,loading_abs,loading_signed
PC1,temperature_2m_max__mean_7d,0.11754619695353079,0.11754619695353079
PC1,apparent_temperature_max__mean_7d,0.11743962261730523,0.11743962261730523
PC1,temperature_2m_max__mean_3d,0.11664795909964618,0.11664795909964618
PC1,apparent_temperature_mean__mean_7d,0.11638631185754979,0.11638631185754979
PC1,uv_index_max__mean_13d,0.11638386131229522,0.11638386131229522
PC1,temperature_2m_mean__mean_7d,0.11635533986917244,0.11635533986917244
PC1,apparent_temperature_max__peak_7d,0.11632824628420094,0.11632824628420094
PC1,uv_index_max__peak_14d,0.11620853456338254,0.11620853456338254
PC1,apparent_temperature_max__mean_3d,0.11618157395798598,0.11618157395798598
PC1,temperature_2m_mean__mean_3d,0.11605199346334084,0.11605199346334084
PC1,apparent_temperature_mean__mean_3d,0.11595931839345948,0.11595931839345948
PC1,uv_index_max__mean_7d,0.11583135814018179,0.11583135814018179
PC1,temperature_2m_max__mean_13d,0.11579777312859066,0.11579777312859066
PC1,temperature_2m_max__peak_7d,0.11572896860914099,0.11572896860914099
PC1,temperature_2m_max__mean_2d,0.11569841472540876,0.11569841472540876
PC1,apparent_temperature_max__mean_13d,0.11566186441984705,0.11566186441984705
PC1,apparent_temperature_mean__peak_7d,0.11556505367057471,0.11556505367057471
PC1,uv_index_max__peak_7d,0.11539118746688959,0.11539118746688959
PC1,et0_fao_evapotranspiration__mean_13d,0.11521685610429065,0.11521685610429065
PC1,apparent_temperature_max__mean_2d,0.11513437180800007,0.11513437180800007
PC2,precipitation_sum__mean_7d,0.18479576688251953,0.18479576688251953
PC2,precipitation_hours__mean_3d,0.18339156369055204,0.18339156369055204
PC2,precipitation_hours__mean_7d,0.18119973640832882,0.18119973640832882
PC2,rain_sum__mean_7d,0.1803653380729758,0.1803653380729758
PC2,precipitation_hours__mean_2d,0.178198485860673,0.178198485860673
PC2,precipitation_sum__mean_3d,0.17461051155802804,0.17461051155802804
PC2,rain_sum__mean_3d,0.17256751085596161,0.17256751085596161
PC2,precipitation_sum__mean_2d,0.16534994845865347,0.16534994845865347
PC2,precipitation_hours__peak_7d,0.16470172909283248,0.16470172909283248
PC2,rain_sum__mean_2d,0.162720633931289,0.162720633931289
PC2,wind_gusts_10m_max__mean_7d,0.1578520567641807,0.1578520567641807
PC2,wind_gusts_10m_max__mean_3d,0.1535689828291845,0.1535689828291845
PC2,precipitation_hours__day1,0.15311851894642184,0.15311851894642184
PC2,precipitation_sum__peak_7d,0.152696700407072,0.152696700407072
PC2,wind_speed_10m_max__mean_7d,0.15087233316227047,0.15087233316227047
PC2,wind_gusts_10m_max__mean_2d,0.1502186787415091,0.1502186787415091
PC2,rain_sum__peak_7d,0.1501619060729277,0.1501619060729277
PC2,wind_speed_10m_max__mean_3d,0.14977475431573692,0.14977475431573692
PC2,precipitation_hours__mean_13d,0.14965518380594053,0.14965518380594053
PC2,wind_gusts_10m_max__peak_7d,0.14965487589380483,0.14965487589380483
PC3,wind_gusts_10m_max__mean_3d,0.23133242261919185,0.23133242261919185
PC3,wind_gusts_10m_max__mean_2d,0.224924140642248,0.224924140642248
PC3,wind_speed_10m_max__mean_3d,0.2239438579863214,0.2239438579863214
PC3,wind_gusts_10m_max__mean_7d,0.2234675857242763,0.2234675857242763
PC3,wind_speed_10m_max__mean_2d,0.22120424404774147,0.22120424404774147
PC3,wind_speed_10m_max__mean_7d,0.21783321904595682,0.21783321904595682
PC3,wind_gusts_10m_max__peak_7d,0.20625775285832826,0.20625775285832826
PC3,wind_gusts_10m_max__mean_13d,0.20043319546293611,0.20043319546293611
PC3,wind_speed_10m_max__peak_7d,0.19723315746053144,0.19723315746053144
PC3,wind_gusts_10m_max__day1,0.19569397537397512,0.19569397537397512
PC3,wind_speed_10m_max__day1,0.19203346810643251,0.19203346810643251
PC3,wind_gusts_10m_max__peak_14d,0.1907556040708611,0.1907556040708611
PC3,wind_speed_10m_max__mean_13d,0.1894808152929128,0.1894808152929128
PC3,precipitation_sum__peak_14d,0.17812841283186034,-0.17812841283186034
PC3,wind_speed_10m_max__peak_14d,0.17122834492069228,0.17122834492069228
PC3,rain_sum__peak_14d,0.17051108334298345,-0.17051108334298345
PC3,precipitation_sum__peak_7d,0.15788715937402617,-0.15788715937402617
PC3,precipitation_sum__mean_13d,0.15220045291082673,-0.15220045291082673
PC3,precipitation_hours__peak_14d,0.1505285337378227,-0.1505285337378227
PC3,precipitation_sum__mean_7d,0.14672756171889617,-0.14672756171889617
