model,disease,feature_block,n_folds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,precision_mean,precision_std,precision_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,roc_auc_mean,roc_auc_std,roc_auc_mean_pm_std
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,clinical_only,5,0.574313725490196,0.053057344507079635,0.5743 ± 0.0531,0.3130718954248366,0.08918036601230163,0.3131 ± 0.0892,0.42764901764901764,0.10733735875149036,0.4276 ± 0.1073,0.36051589307985304,0.09541298443598245,0.3605 ± 0.0954,0.642643427741467,0.07503575337321912,0.6426 ± 0.0750
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,combined,5,0.5217647058823529,0.027763933497374178,0.5218 ± 0.0278,0.19019607843137254,0.04715404309915753,0.1902 ± 0.0472,0.33717171717171723,0.07614178666382579,0.3372 ± 0.0761,0.24308450170519133,0.058098663431855456,0.2431 ± 0.0581,0.6314742193173566,0.07068706080154381,0.6315 ± 0.0707
hist_gb_binary_acute_flare_up_of_triaditis_chronic_enteropathy,acute flare-up of triaditis/chronic enteropathy,environmental_only,5,0.48921568627450984,0.0374329251895722,0.4892 ± 0.0374,0.13398692810457516,0.07369262930574955,0.1340 ± 0.0737,0.25181818181818183,0.0954328979782597,0.2518 ± 0.0954,0.17092766747939162,0.08570638983578613,0.1709 ± 0.0857,0.5257153231663035,0.08920502441398596,0.5257 ± 0.0892
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,clinical_only,5,0.7921176470588236,0.07052903290766999,0.7921 ± 0.0705,0.6,0.14907119849998599,0.6000 ± 0.1491,0.9095238095238095,0.0831630914122523,0.9095 ± 0.0832,0.7126315789473685,0.09676516139835337,0.7126 ± 0.0968,0.8288496732026143,0.0650611590677607,0.8288 ± 0.0651
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,combined,5,0.8068235294117647,0.05898208207059619,0.8068 ± 0.0590,0.6333333333333334,0.12638125740085918,0.6333 ± 0.1264,0.8972222222222221,0.09996141230803654,0.8972 ± 0.1000,0.7333333333333332,0.0781735959970572,0.7333 ± 0.0782,0.8856209150326798,0.042499368639346224,0.8856 ± 0.0425
hist_gb_binary_acute_gastroenteritis,acute gastroenteritis,environmental_only,5,0.5400392156862746,0.04303857920830015,0.5400 ± 0.0430,0.16666666666666669,0.13176156917368248,0.1667 ± 0.1318,0.2539194139194139,0.16361830038689948,0.2539 ± 0.1636,0.19513175094599242,0.13689826245493064,0.1951 ± 0.1369,0.610359477124183,0.052183004080055495,0.6104 ± 0.0522
hist_gb_binary_acute_pancreatitis,acute pancreatitis,clinical_only,5,0.601157894736842,0.08027428740784041,0.6012 ± 0.0803,0.476,0.1314534138012399,0.4760 ± 0.1315,0.5268350168350169,0.09491289262744217,0.5268 ± 0.0949,0.49837946820370504,0.11060423648758873,0.4984 ± 0.1106,0.6871052631578948,0.10722804290667415,0.6871 ± 0.1072
hist_gb_binary_acute_pancreatitis,acute pancreatitis,combined,5,0.5725350877192982,0.07900093455661593,0.5725 ± 0.0790,0.4503333333333333,0.11733380681722647,0.4503 ± 0.1173,0.4941533125743652,0.12044012242417317,0.4942 ± 0.1204,0.4677777996124042,0.10802144187312782,0.4678 ± 0.1080,0.6347631578947368,0.10094191097151724,0.6348 ± 0.1009
hist_gb_binary_acute_pancreatitis,acute pancreatitis,environmental_only,5,0.5020087719298245,0.04775125913039375,0.5020 ± 0.0478,0.3303333333333333,0.04967114073808072,0.3303 ± 0.0497,0.39980177717019816,0.07209573799640126,0.3998 ± 0.0721,0.36143170838823013,0.0583686539398122,0.3614 ± 0.0584,0.49976315789473685,0.07015788980139755,0.4998 ± 0.0702
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,5,0.8593265993265993,0.051444394820291284,0.8593 ± 0.0514,0.7333333333333333,0.0959238702768445,0.7333 ± 0.0959,0.880952380952381,0.06734350297014739,0.8810 ± 0.0673,0.7995238095238095,0.08310171894497717,0.7995 ± 0.0831,0.9720295548073326,0.015609889420557754,0.9720 ± 0.0156
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,combined,5,0.8288047138047137,0.07338280453311258,0.8288 ± 0.0734,0.6833333333333333,0.14006446928309677,0.6833 ± 0.1401,0.8099999999999999,0.12337837015547833,0.8100 ± 0.1234,0.7359340659340659,0.12141160882412469,0.7359 ± 0.1214,0.9716601197156752,0.015445036465905001,0.9717 ± 0.0154
hist_gb_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,5,0.6182575757575757,0.10063552619795031,0.6183 ± 0.1006,0.2694444444444445,0.20661326968487903,0.2694 ± 0.2066,0.5228571428571429,0.11544059343335385,0.5229 ± 0.1154,0.3364102564102564,0.19231111108072227,0.3364 ± 0.1923,0.6850972689861579,0.15164017550568676,0.6851 ± 0.1516
